node_id,node_name,best_of,inc_id_1,inc_id_2,team_id_1,team_id_2,time
1,EG vs QC,3,0,0,39,7390454,1649530800
2,EG vs 4Z,3,0,0,39,7819028,1648926000
3,EG vs TC,3,0,0,39,8205424,1647471600
4,EG vs TSM,3,0,0,39,8260983,1650135600
5,EG vs S2B,3,0,0,39,8272699,1648317600
6,EG vs WC,3,0,0,39,8376426,1647730800
7,EG vs TC,3,0,0,39,8604954,1650492000
8,QC vs 4Z,3,0,0,7390454,7819028,1647979200
9,QC vs TC,3,0,0,7390454,8205424,1649185200
10,QC vs TSM,3,0,0,7390454,8260983,1650481200
11,QC vs 2B,3,0,0,7390454,8272699,1649887200
12,QC vs WC,3,0,0,7390454,8376426,1647374400
13,QC vs DC,3,0,0,7390454,8604954,1648328400
14,4Z vs TC,3,0,0,7819028,8205424,1650146400
15,4Z vs TSM,3,0,0,7819028,8260983,1649271600
16,4Z vs S2B,3,0,0,7819028,8272699,1647460800
17,4Z vs WC,3,0,0,7819028,8376426,1648666800
18,4Z vs DC,3,0,0,7819028,8604954,1649790000
19,TC vs TSM,3,0,0,8205424,8260983,1648580400
20,TC vs S2B,3,0,0,8205424,8272699,1649541600
21,TC vs WC,3,0,0,8205424,8376426,1649876400
22,TC vs DC,3,0,0,8205424,8604954,1648072800
23,TSM vs S2B,3,0,0,8260983,8272699,1648062000
24,TSM vs WC,3,0,0,8260983,8376426,1648936800
25,TSM vs DC,3,0,0,8260983,8604954,1647720000
26,2B vs WC,3,0,0,8272699,8376426,1650394800
27,S2B vs DC,3,0,0,8272699,8604954,1648677600
28,WC vs DC,3,0,0,8376426,8604954,1649282400
