node_id,node_name,best_of,inc_id_1,inc_id_2,team_id_1,team_id_2,time
1,Infamous U.Esports vs Lava BestPC,3,0,0,2672298,7119077,1642190400
2,Infamous U.Esports vs. NoPing VPN,3,0,0,2672298,7298091,1639350000
3,Thunder Predator vs. Infamous U.Esports,3,0,0,2672298,7391077,1638486000
4,Infamous U.Esports vs. Hokori,3,0,0,2672298,8131728,1639944000
5,Beastcoast vs. Infamous U.Esports,3,0,0,2672298,8254400,1641596400
6,SG Esports vs. Infamous U.Esports,3,0,0,2672298,8255756,1639090800
7,Infamous U.Esports vs ApuKINGS,3,0,0,2672298,8375259,1642719600
8,NoPing VPN vs. LavaBestPC,3,0,0,7119077,7298091,1641758400
9,Thunder Predator vs. Lava BestPC,3,0,0,7119077,7391077,1639782000
10,Hokori vs Lava BestPC,3,0,0,7119077,8131728,1642795200
11,Beastcoast vs. Lava BestPC,3,0,0,7119077,8254400,1639177200
12,Lava BestPC vs. SG Esports,3,0,0,7119077,8255756,1639695600
13,King of Kings vs. Lava BestPC,3,0,0,7119077,8375259,1638734400
14,NoPing VPN vs Thunder Predator,3,0,0,7298091,7391077,1642363200
15,Hokori vs. NoPing VPN,3,0,0,7298091,8131728,1638561600
16,Beastcoast vs. NoPing,3,0,0,7298091,8254400,1641510000
17,NoPing VPN vs SG Esports,3,0,0,7298091,8255756,1642114800
18,NoPing VPN vs. King of Kings,3,0,0,7298091,8375259,1639166400
19,Hokori vs. Thunder Predator,3,0,0,7391077,8131728,1638745200
20,Thunder Predator vs Beastcoast,3,0,0,7391077,8254400,1642806000
21,Thunder Predator vs. SG Esports,3,0,0,7391077,8255756,1639339200
22,Thunder Predator vs. King of Kings,3,0,0,7391077,8375259,1641585600
23,Beastcoast vs. Hokori,3,0,0,8131728,8254400,1639771200
24,SG Esports vs. Hokori,3,0,0,8131728,8255756,1641769200
25,Hokori vs ApuKINGS,3,0,0,8131728,8375259,1642201200
26,Beastcoast vs SG Esports,3,0,0,8254400,8255756,1642374000
27,Beastcoast vs. King of Kings,3,0,0,8254400,8375259,1638572400
28,King of Kings vs. SG Esports,3,0,0,8255756,8375259,1639954800
