node_id,node_name,best_of,inc_id_1,inc_id_2,team_id_1,team_id_2,time
1,TL vs TS,3,0,0,2163,1838315,1647352800
2,TL vs OG,3,0,0,2163,2586976,1648137600
3,TL vs NGX,3,0,0,2163,7554697,1649768400
4,TL vs BR,3,0,0,2163,8112124,1648569600
5,TL vs TUNDRA,3,0,0,2163,8291895,1649509200
6,TL vs GG,3,0,0,2163,8599101,1650459600
7,TL vs ENT,3,0,0,2163,8605863,1649163600
8,TS vs OG,3,0,0,1838315,2586976,1648299600
9,TS vs NGX,3,0,0,1838315,7554697,1650114000
10,TS vs BR,3,0,0,1838315,8112124,1649174400
11,TS vs TUNDRA,3,0,0,1838315,8291895,1647957600
12,TS vs GG,3,0,0,1838315,8599101,1648645200
13,TC vs ENT,3,0,0,1838315,8605863,1649854800
14,OG vs NGX,3,0,0,2586976,7554697,1647363600
15,BR vs OG,3,0,0,2586976,8112124,1649779200
16,OG vs TUNDRA,3,0,0,2586976,8291895,1648915200
17,OG vs GG,3,0,0,2586976,8599101,1649250000
18,OG vs ENT,3,0,0,2586976,8605863,1650384000
19,NGX vs BR,3,0,0,7554697,8112124,1648904400
20,NGX vs TUNDRA,3,0,0,7554697,8291895,1648558800
21,NGX vs GG,3,0,0,7554697,8599101,1648998000
22,NGX vs ENT,3,0,0,7554697,8605863,1649520000
23,BR vs TUNDRA,3,0,0,8112124,8291895,1650373200
24,BR vs GG,3,0,0,8112124,8599101,1647698400
25,BR vs ENT,3,0,0,8112124,8605863,1648044000
26,TUNDRA vs GG,3,0,0,8291895,8599101,1650124800
27,TUN vs ENT,3,0,0,8291895,8605863,1647439200
28,GG vs ENT,3,0,0,8599101,8605863,1648310400
