player_id,series_id,series_type,match_id,start_time,win,kills,deaths,creep_score,gold_per_min,tower_kills,roshan_kills,team_fight,obs_wards_planted,camps_stacked,runes_grabbed,first_blood,stuns,total
97366926,633664,1,6383203600,1642463721,0,0,0.6,0.081,0.408,0,0,1.03846,3,0,1,0,0,6.12746
97072681,633664,1,6383203600,1642463721,0,4.5,1.2,0.531,0.912,1,0,2.76923,0.5,1,3.25,0,3.31726,18.97949
71266407,633664,1,6383203600,1642463721,0,0.6,0.9,0.669,0.888,0,0,1.84615,0,0,0.25,0,4.96424,10.11739
1008365008,633664,1,6383203600,1642463721,0,1.2,0.9,0.186,0.534,0,0,1.84615,4.5,0.5,0,0,1.27148,10.93763
107579895,633664,1,6383203600,1642463721,0,1.5,1.5,1.083,1.116,2,1,1.38462,0,1.5,0,0,0,11.08362
123953528,633664,1,6383203600,1642463721,1,3.6,2.1,0.687,1.084,0,0,2.36364,1,1,3.25,0,1.10954,16.19418
173971950,633664,1,6383203600,1642463721,1,3,2.7,1.086,1.494,5,0,1.63636,0,1.5,0.75,0,1.04435,18.21071
878212255,633664,1,6383203600,1642463721,1,1.8,2.1,0.567,0.91,1,0,2.27273,0,0,0.5,0,0,9.14973
121591254,633664,1,6383203600,1642463721,1,0.6,-0.3,0.063,0.488,0,0,1.81818,2,0.5,1,0,0.12543,6.29461
185001854,633664,1,6383203600,1642463721,1,0.6,0.6,0.06,0.568,0,0,1.81818,5,0,0.75,0,2.31841,11.71459
123953528,633664,1,6383160887,1642460414,1,2.1,2.7,0.567,1.06,1,0,2.3,1,2.5,2.5,4,2.01074,21.73774
121591254,633664,1,6383160887,1642460414,1,0.6,2.7,0.129,0.576,1,0,2.3,1.5,1.5,0,0,1.89376,12.19876
878212255,633664,1,6383160887,1642460414,1,3.9,2.7,0.513,1.062,0,1,2.3,0,0,0.25,0,0.50413,12.22913
173971950,633664,1,6383160887,1642460414,1,1.8,3,0.717,1.196,3,0,1.1,0,1,0.75,0,0,12.563
185001854,633664,1,6383160887,1642460414,1,0.3,2.4,0.06,0.502,0,0,1.9,3,1.5,0.25,0,0,9.912
97366926,633664,1,6383160887,1642460414,0,0,0.6,0.039,0.344,0,0,1.2,2,0.5,0.5,0,1.68083,6.86383
97072681,633664,1,6383160887,1642460414,0,0.6,1.2,0.564,0.766,0,0,2.4,0.5,1,1.5,0,0,8.53
71266407,633664,1,6383160887,1642460414,0,0.3,1.5,0.417,0.68,1,0,1.8,0,0,0.25,0,1.255,7.202
107579895,633664,1,6383160887,1642460414,0,0,1.5,0.672,0.882,0,0,1.2,0,3.5,1,0,0.57153,9.32553
1008365008,633664,1,6383160887,1642460414,0,0.3,1.2,0.12,0.458,0,0,1.8,3,1,0.5,0,0.79635,9.17435
173971950,632361,1,6375367664,1642096314,1,3,3,1.056,1.614,5,0,1.46341,0,0.5,0.75,4,0.36611,20.74952
121591254,632361,1,6375367664,1642096314,1,1.8,1.8,0.162,0.736,1,1,1.82927,1.5,1,0.75,0,0.8236,12.40086
123953528,632361,1,6375367664,1642096314,1,3.9,1.8,0.633,1.264,0,0,2.19512,0.5,0.5,3.5,0,0.4268,14.71892
878212255,632361,1,6375367664,1642096314,1,1.5,2.4,0.402,0.888,1,0,1.7561,0,0,1.25,0,0,9.1961
185001854,632361,1,6375367664,1642096314,1,2.1,1.2,0.144,0.732,0,0,1.97561,5,0.5,0,0,0,11.65161
173328149,632361,1,6375367664,1642096314,0,0.9,0.3,0.048,0.454,0,0,1.5,4,1,0.25,0,0.89904,9.35104
907542160,632361,1,6375367664,1642096314,0,1.5,0.6,0.453,0.936,0,0,2.625,0,0.5,0.25,0,2.35678,9.22078
216278662,632361,1,6375367664,1642096314,0,0.6,0.3,0.246,0.636,1,0,2.25,2,1.5,0.25,0,1.2493,10.0313
143786911,632361,1,6375367664,1642096314,0,0.9,1.5,0.726,0.966,1,0,1.3125,0,2,0.5,0,0,8.9045
175104556,632361,1,6375367664,1642096314,0,0.9,0,0.486,0.82,0,0,1.6875,0.5,0,2.25,0,0.37628,7.01978
121591254,632361,1,6375269958,1642093480,1,0.9,3,0.084,0.6,0,0,0.92308,1.5,1.5,0.5,0,0.1983,9.20537
123953528,632361,1,6375269958,1642093480,1,0.9,3,0.504,1.082,5,0,0.92308,0.5,0,1.5,0,3.08021,16.48929
878212255,632361,1,6375269958,1642093480,1,1.8,2.4,0.468,1.062,1,0,1.03846,0,0,1.25,0,0.67366,9.69212
173971950,632361,1,6375269958,1642093480,1,3.3,2.7,0.546,1.348,1,2,1.84615,0,0.5,0.75,4,0.05853,18.04869
185001854,632361,1,6375269958,1642093480,1,0.6,2.4,0.081,0.552,0,0,1.61538,3,0,0.75,0,1.77316,10.77155
173328149,632361,1,6375269958,1642093480,0,0,1.8,0.078,0.358,0,0,1.2,2,0.5,0.5,0,0,6.436
175104556,632361,1,6375269958,1642093480,0,0.3,1.5,0.228,0.568,0,0,0.6,0,0,1,0,0,4.196
216278662,632361,1,6375269958,1642093480,0,0.6,0.9,0.096,0.462,0,0,2.4,3.5,0,0.5,0,1.41052,9.86852
907542160,632361,1,6375269958,1642093480,0,0.3,1.5,0.285,0.626,1,0,1.8,0,0,0.25,0,0.9631,6.7241
143786911,632361,1,6375269958,1642093480,0,0,1.5,0.423,0.752,1,0,1.2,0,1,0,0,0,5.875
116293223,630582,1,6362975261,1641491533,0,0.3,1.8,0.282,0.62,0,0,0.5,1,0,1,0,0.29191,5.79391
119343873,630582,1,6362975261,1641491533,0,0.3,1.5,0.066,0.346,0,0,2.5,1,0,0.25,0,0,5.962
109455705,630582,1,6362975261,1641491533,0,0.9,1.2,0.273,0.652,1,0,2.5,0,0.5,0,0,3.84862,10.87361
417512732,630582,1,6362975261,1641491533,0,0.3,0.3,0.045,0.344,0,0,1.5,2,0,0.25,0,1.33301,6.07201
116080282,630582,1,6362975261,1641491533,0,0,1.2,0.408,0.648,0,0,0.5,0,2.5,0,0,0.4135,5.6695
173971950,630582,1,6362975261,1641491533,1,2.7,2.7,0.483,1.402,3,1,1.4,0,0.5,0.5,4,0.77513,18.46013
123953528,630582,1,6362975261,1641491533,1,2.4,3,0.285,1.078,2,0,1.3,1,0,1.75,0,0.50533,13.31833
878212255,630582,1,6362975261,1641491533,1,2.1,3,0.357,1.128,3,0,2.3,0,0,0.75,0,0.77567,13.41067
121591254,630582,1,6362975261,1641491533,1,0.9,2.4,0.045,0.636,0,0,2.1,1,0,0.5,0,0.67532,8.25632
185001854,630582,1,6362975261,1641491533,1,0.9,2.1,0.036,0.652,1,0,2.2,2.5,0.5,0.25,0,1.03185,11.16985
173971950,630582,1,6362861405,1641488519,1,1.8,3,0.759,1.428,5,0,1.11111,0.5,0,0.5,0,0.76215,14.86026
123953528,630582,1,6362861405,1641488519,1,2.4,2.7,0.372,0.918,1,1,1.66667,1,0,0.75,0,5.23596,17.04262
878212255,630582,1,6362861405,1641488519,1,1.8,2.4,0.462,1.024,1,0,1.33333,0,0,0.5,4,1.78786,14.30719
121591254,630582,1,6362861405,1641488519,1,1.8,2.7,0.099,0.572,0,0,1.88889,1,2.5,0.25,0,2.47282,13.28271
185001854,630582,1,6362861405,1641488519,1,0.3,2.7,0.039,0.484,0,0,1.77778,2.5,1,0.75,0,0,9.55078
116293223,630582,1,6362861405,1641488519,0,0.9,1.8,0.345,0.74,0,0,3,0.5,0,2,0,0,9.285
109455705,630582,1,6362861405,1641488519,0,0,1.5,0.339,0.68,1,0,1.8,0,0,0.25,0,0.70003,6.26903
116080282,630582,1,6362861405,1641488519,0,0,1.8,0.348,0.654,0,0,1.2,0,0.5,0.25,0,0,4.752
119343873,630582,1,6362861405,1641488519,0,0,1.5,0.063,0.364,0,0,2.4,1.5,0,0.5,0,0.69294,7.01994
