node_id,node_name,best_of,inc_id_1,inc_id_2,team_id_1,team_id_2,time
1,Fnatic vs BOOM,3,0,0,350190,7732977,0
2,Fnatic vs T1,3,0,0,350190,8214850,0
3,Fnatic vs Team SMG,3,0,0,350190,8244493,1656756000
4,Fnatic vs Polaris,3,0,0,350190,8525778,0
5,Fnatic vs Nigma Galaxy,3,0,0,350190,8572181,1654768800
6,Fnatic vs Talon,3,0,0,350190,8597976,1655978400
7,Fnatic vs RSG,3,0,0,350190,8668460,1655546400
8,BOOM vs T1,3,0,0,7732977,8214850,0
9,BOOM vs SMG,3,0,0,7732977,8244493,1654682400
10,BOOM vs Polaris,3,0,0,7732977,8525778,1656496800
11,BOOM vs Nigma Galaxy,3,0,0,7732977,8572181,1656151200
12,BOOM vs Talon,3,0,0,7732977,8597976,1655535600
13,BOOM vs RSG,3,0,0,7732977,8668460,1656745200
14,T1 vs Team SMG,3,0,0,8214850,8244493,1655892000
15,T1 vs Polaris,3,0,0,8214850,8525778,0
16,T1 vs Nigma Galaxy,3,0,0,8214850,8572181,1655373600
17,T1 vs Talon,3,0,0,8214850,8597976,1656583200
18,T1 vs RSG,3,0,0,8214850,8668460,1654941600
19,Polaris vs Team SMG,3,0,0,8244493,8525778,1655287200
20,Team SMG vs Nigma Galaxy,3,0,0,8244493,8572181,0
21,Team SMG vs Talon,3,0,0,8244493,8597976,0
22,Team SMG vs RSG,3,0,0,8244493,8668460,1656140400
23,Polaris vs Nigma Galaxy,3,0,0,8525778,8572181,1654930800
24,Polaris vs Talon,3,0,0,8525778,8597976,1654671600
25,Polaris vs RSG,3,0,0,8525778,8668460,1655881200
26,Talon vs Nigma Galaxy,3,0,0,8572181,8597976,1655276400
27,Nigma Galaxy vs RSG,3,0,0,8572181,8668460,1656486000
28,RSG vs Talon,3,0,0,8597976,8668460,0
