node_id,node_name,best_of,inc_id_1,inc_id_2,team_id_1,team_id_2,time
1,,3,0,0,39,7390454,1657749600
2,,3,0,0,39,8205424,1655578800
3,,3,0,0,39,8260983,1655935200
4,,3,0,0,39,8261882,1657047600
5,,3,0,0,39,8376426,1655233200
6,,3,0,0,39,8607159,1656788400
7,,3,0,0,39,8728920,1654628400
8,,3,0,0,7390454,8205424,1657144800
9,,3,0,0,7390454,8260983,1655319600
10,,3,0,0,7390454,8261882,1655924400
11,,3,0,0,7390454,8376426,1656183600
12,,3,0,0,7390454,8607159,1654725600
13,,3,0,0,7390454,8728920,1656529200
14,,3,0,0,8205424,8260983,1654974000
15,,3,0,0,8205424,8261882,1657404000
16,,3,0,0,8205424,8376426,1656540000
17,,3,0,0,8205424,8607159,1655330400
18,,3,0,0,8205424,8728920,1656194400
19,,3,0,0,8260983,8261882,1656799200
20,,3,0,0,8260983,8376426,1657738800
21,,3,0,0,8260983,8607159,1655589600
22,,3,0,0,8260983,8728920,1657134000
23,,3,0,0,8261882,8376426,1654714800
24,,3,0,0,8261882,8607159,1656442800
25,,3,0,0,8261882,8728920,1654984800
26,,3,0,0,8376426,8607159,1657393200
27,,3,0,0,8376426,8728920,1655838000
28,,3,0,0,8607159,8728920,1657652400
