node_group_id,node_group_name,node_id,node_name,best_of,inc_id_1,inc_id_2,team_id_1,team_id_2,team_wins_1,team_wins_2,time
2,Round Robin,1,,3,0,0,2163,2586976,0,0,1678906800
2,Round Robin,2,,3,0,0,2163,7300277,0,0,1680116400
2,Round Robin,3,,3,0,0,2163,7554697,0,0,1679317200
2,Round Robin,4,,3,0,0,2163,8291895,0,0,1679932800
2,Round Robin,5,,3,0,0,2163,8599101,0,2,1678734000
2,Round Robin,6,,3,0,0,2163,8605863,0,0,1679662800
2,Round Robin,7,,3,0,0,2163,8894818,0,0,1680278400
2,Round Robin,8,,3,0,0,2586976,7300277,0,0,1679684400
2,Round Robin,9,,3,0,0,2586976,7554697,0,0,1679943600
2,Round Robin,10,,3,0,0,2586976,8291895,0,2,1678723200
2,Round Robin,11,,3,0,0,2586976,8599101,0,0,1679490000
2,Round Robin,12,,3,0,0,2586976,8605863,0,0,1680462000
2,Round Robin,13,,3,0,0,2586976,8894818,0,0,1679079600
2,Round Robin,14,,3,0,0,7300277,7554697,0,0,1679511600
2,Round Robin,15,,3,0,0,7300277,8291895,0,0,1680289200
2,Round Robin,16,,3,0,0,7300277,8599101,0,0,1679328000
2,Round Robin,17,,3,0,0,7300277,8605863,0,0,1679068800
2,Round Robin,18,,3,0,0,7300277,8894818,2,0,1678712400
2,Round Robin,19,,3,0,0,7554697,8291895,0,0,1679058000
2,Round Robin,20,,3,0,0,7554697,8599101,0,0,1680267600
2,Round Robin,21,,3,0,0,7554697,8605863,1,2,1678885200
2,Round Robin,22,,3,0,0,7554697,8894818,0,0,1679673600
2,Round Robin,23,,3,0,0,8291895,8599101,0,0,1680105600
2,Round Robin,24,,3,0,0,8291895,8605863,0,0,1679338800
2,Round Robin,25,,3,0,0,8291895,8894818,0,0,1679500800
2,Round Robin,26,,3,0,0,8599101,8605863,0,0,1679922000
2,Round Robin,27,,3,0,0,8599101,8894818,0,0,1678896000
2,Round Robin,28,,3,0,0,8605863,8894818,0,0,1680094800
