node_group_id,node_group_name,node_id,node_name,best_of,inc_id_1,inc_id_2,team_id_1,team_id_2,team_wins_1,team_wins_2,time
2,Round Robin,1,match 18,3,0,0,7732977,350190,2,1,1674212400
2,Round Robin,2,Match 2,3,0,0,350190,8169775,0,2,1673251200
2,Round Robin,3,Match 5,3,0,0,8214850,350190,2,0,1673424000
2,Round Robin,4,Match 12,3,0,0,350190,8244493,1,2,1673866800
2,Round Robin,5,Match 24,3,0,0,8254145,350190,0,0,1674644400
2,Round Robin,6,match 27,3,0,0,350190,8597976,0,0,1674817200
2,Round Robin,7,Match 9,3,0,0,8668460,350190,2,1,1673607600
2,Round Robin,8,Match 7,3,0,0,8169775,7732977,2,1,1673586000
2,Round Robin,9,match 15,3,0,0,8214850,7732977,2,1,1674039600
2,Round Robin,10,match 20,3,0,0,8244493,7732977,1,2,1674460800
2,Round Robin,11,Match 10,3,0,0,8254145,7732977,2,0,1673845200
2,Round Robin,12,Match 6,3,0,0,7732977,8597976,0,2,1673434800
2,Round Robin,13,Match 26,3,0,0,7732977,8668460,0,0,1674806400
2,Round Robin,14,match 17,3,0,0,8214850,8169775,0,2,1674201600
2,Round Robin,15,match 25,3,0,0,8169775,8244493,0,0,1674795600
2,Round Robin,16,Match 13,3,0,0,8169775,8254145,2,0,1674018000
2,Round Robin,17,Match 19,3,0,0,8169775,8597976,0,2,1674450000
2,Round Robin,18,Match 28,3,0,0,8668460,8169775,0,0,1675054800
2,Round Robin,19,match 8,3,0,0,8244493,8214850,1,2,1673596800
2,Round Robin,20,match 21,3,0,0,8214850,8254145,0,2,1674471600
2,Round Robin,21,match 22,3,0,0,8214850,8597976,0,0,1674622800
2,Round Robin,22,Match 3,3,0,0,8668460,8214850,2,1,1673262000
2,Round Robin,23,Match 4,3,0,0,8244493,8254145,0,2,1673413200
2,Round Robin,24,Match 14,3,0,0,8597976,8244493,2,0,1674028800
2,Round Robin,25,match 23,3,0,0,8668460,8244493,0,0,1674633600
2,Round Robin,26,Match 1,3,0,0,8254145,8597976,2,0,1673240400
2,Round Robin,27,Match 16,3,0,0,8254145,8668460,2,0,1674190800
2,Round Robin,28,Match 11,3,0,0,8597976,8668460,1,2,1673856000
