player_id,series_id,series_type,match_id,start_time,win,kills,deaths,creep_score,gold_per_min,tower_kills,roshan_kills,team_fight,obs_wards_planted,camps_stacked,runes_grabbed,first_blood,stuns,total
172099728,765996,1,7087277317,1680350702,1,3.9,2.7,1.059,1.422,5,2,1.8,0,0.5,1,4,2.47298,25.85398
145065875,765996,1,7087277317,1680350702,1,0.6,2.7,0.237,0.664,0,0,1.425,3.5,0,1.25,0,1.65375,12.02975
94049589,765996,1,7087277317,1680350702,1,2.7,2.1,0.315,0.8,1,0,1.725,4.5,0,0.75,0,0.32,14.21
123023873,765996,1,7087277317,1680350702,1,3.3,2.7,0.744,1.188,2,0,2.025,1,0,2.25,0,3.44157,18.64857
195108598,765996,1,7087277317,1680350702,1,1.5,3,1.02,1.754,0,0,2.025,0,1,1,0,1.25835,12.55735
72393079,765996,1,7087277317,1680350702,0,0.3,0.3,0.531,0.746,0,0,2,0.5,0.5,1.25,0,3.05583,9.18283
344861218,765996,1,7087277317,1680350702,0,0.3,1.2,0.135,0.462,0,0,1.5,6,2,2.25,0,1.35917,15.20617
168126336,765996,1,7087277317,1680350702,0,0.3,0.6,0.723,0.88,1,0,1.5,0,0.5,0.25,0,0.92998,6.68298
241519559,765996,1,7087277317,1680350702,0,0.3,1.2,1.221,1.18,0,0,1,0,1.5,0.5,0,0.3,7.201
140729406,765996,1,7087277317,1680350702,0,0.6,-0.6,0.063,0.436,0,0,2,2,0.5,1.5,0,0,6.499
172099728,765996,1,7087194210,1680347089,0,1.2,2.1,1.155,1.168,0,1,1.5,0.5,0,0.5,0,1.37833,10.50133
145065875,765996,1,7087194210,1680347089,0,0,2.4,0.345,0.516,0,0,1.8,2,0,1.75,0,0.21666,9.02766
94049589,765996,1,7087194210,1680347089,0,0.3,0.3,0.231,0.498,0,0,0.9,4,1,0,0,0.22001,7.44901
123023873,765996,1,7087194210,1680347089,0,1.2,2.1,0.894,0.952,1,0,1.8,1,0,1.75,0,0,10.696
195108598,765996,1,7087194210,1680347089,0,0.3,2.1,0.912,0.92,2,0,1.2,0,0,0.25,0,0.9866,8.6686
72393079,765996,1,7087194210,1680347089,1,1.2,3,0.657,0.99,0,0,2.7,1.5,2.5,2.75,0,1.80667,17.10367
344861218,765996,1,7087194210,1680347089,1,0.6,2.7,0.081,0.58,0,0,1.95,4.5,0.5,1,0,0,11.911
168126336,765996,1,7087194210,1680347089,1,0.3,2.7,0.714,1.036,1,0,1.65,0,0,0.75,4,0.155,12.305
140729406,765996,1,7087194210,1680347089,1,0.9,0.9,0.117,0.604,1,1,1.95,2,1.5,0.25,0,3.60332,13.82432
241519559,765996,1,7087194210,1680347089,1,3,2.7,1.119,1.56,8,0,1.95,0,1.5,1.5,0,0.33189,21.66089
172099728,765996,1,7087111485,1680343290,1,2.1,2.4,1.278,1.304,2,1,1.59375,0,0.5,1,0,2.06835,15.2441
145065875,765996,1,7087111485,1680343290,1,0.3,2.4,0.177,0.568,0,0,1.875,4.5,1,0.75,0,8.47338,20.04338
94049589,765996,1,7087111485,1680343290,1,0.3,1.2,0.27,0.64,1,0,1.21875,3,1,0.75,0,0.3,9.67875
123023873,765996,1,7087111485,1680343290,1,4.2,3,0.969,1.258,3,1,2.625,1,0,2.75,0,3.59659,23.39859
195108598,765996,1,7087111485,1680343290,1,2.7,2.7,1.122,1.368,2,0,1.96875,0,4,0.75,0,0.77833,17.38708
72393079,765996,1,7087111485,1680343290,0,1.2,1.5,0.669,0.906,0,0,1.90909,0.5,1.5,2.5,0,1.77995,12.46404
344861218,765996,1,7087111485,1680343290,0,0.3,0,0.096,0.448,0,0,2.45455,5,0.5,1.5,0,0,10.29855
