node_group_id,node_group_name,node_id,node_name,best_of,inc_id_1,inc_id_2,team_id_1,team_id_2,team_wins_1,team_wins_2,time
2,DPC 2023 SA Winter Tour Division I,1,Infamous Gaming VS Vivo Keyd Stars,3,0,0,2672298,1061269,0,0,1675022400
2,DPC 2023 SA Winter Tour Division I,2,Vivo Keyd Stars VS Alliance.LATAM,3,0,0,1061269,7119077,0,0,1673974800
2,DPC 2023 SA Winter Tour Division I,3,Vivo Keyd Stars VS Thunder Awaken,3,0,0,1061269,7391077,0,0,1673812800
2,DPC 2023 SA Winter Tour Division I,4,Beastcoast VS Vivo Keyd Stars,3,0,0,8254400,1061269,2,0,1673370000
2,DPC 2023 SA Winter Tour Division I,5,Vivo Keyd Stars VS Evil Geniuses,3,0,0,1061269,8255756,0,0,1674169200
2,DPC 2023 SA Winter Tour Division I,6,Infinity VS Vivo Keyd Stars,3,0,0,8375259,1061269,0,0,1674417600
2,DPC 2023 SA Winter Tour Division I,7,Ravens VS Vivo Keyd Stars,3,0,0,1061269,8686786,0,0,1673564400
2,DPC 2023 SA Winter Tour Division I,8,Infamous Gaming VS Alliance.LATAM,3,0,0,2672298,7119077,0,0,1673802000
2,DPC 2023 SA Winter Tour Division I,9,Infamous Gaming VS Thunder Awaken,3,0,0,2672298,7391077,0,0,1674147600
2,DPC 2023 SA Winter Tour Division I,10,Infamous Gaming VS Beastcoast,3,0,0,2672298,8254400,0,1,1673553600
2,DPC 2023 SA Winter Tour Division I,11,Infamous Gaming VS Evil Geniuses,3,0,0,2672298,8255756,0,0,1674428400
2,DPC 2023 SA Winter Tour Division I,12,Infinity VS Infamous Gaming,3,0,0,8375259,2672298,0,0,1674590400
2,DPC 2023 SA Winter Tour Division I,13,Ravens VS Infamous Gaming,3,0,0,8686786,2672298,0,0,1674752400
2,DPC 2023 SA Winter Tour Division I,14,Thunder Awaken VS Alliance.LATAM,3,0,0,7391077,7119077,0,0,1675033200
2,DPC 2023 SA Winter Tour Division I,15,Alliance.LATAM VS Beastcoast,3,0,0,7119077,8254400,0,0,1674579600
2,DPC 2023 SA Winter Tour Division I,16,Evil Geniuses VS Alliance.LATAM,3,0,0,7119077,8255756,0,0,1674763200
2,DPC 2023 SA Winter Tour Division I,17,Alliance.LATAM VS Infinity,3,0,0,7119077,8375259,0,2,1673391600
2,DPC 2023 SA Winter Tour Division I,18,Alliance.LATAM VS Ravens,3,0,0,7119077,8686786,0,0,1674406800
2,DPC 2023 SA Winter Tour Division I,19,Beastcoast VS Thunder Awaken,3,0,0,8254400,7391077,0,0,1674774000
2,DPC 2023 SA Winter Tour Division I,20,Thunder Awaken VS Evil Geniuses,3,0,0,7391077,8255756,0,0,1674601200
2,DPC 2023 SA Winter Tour Division I,21,Thunder Awaken VS Infinity,3,0,0,7391077,8375259,0,0,1673985600
2,DPC 2023 SA Winter Tour Division I,22,Thunder Awaken VS Ravens,3,0,0,7391077,8686786,2,0,1673380800
2,DPC 2023 SA Winter Tour Division I,23,Evil Geniuses VS Beastcoast,3,0,0,8255756,8254400,0,0,1675044000
2,DPC 2023 SA Winter Tour Division I,24,Beastcoast VS Infinity,3,0,0,8254400,8375259,0,0,1673823600
2,DPC 2023 SA Winter Tour Division I,25,Beastcoast VS Ravens,3,0,0,8254400,8686786,0,0,1674158400
2,DPC 2023 SA Winter Tour Division I,26,Evil Geniuses VS Infinity,3,0,0,8255756,8375259,2,0,1673542800
2,DPC 2023 SA Winter Tour Division I,27,Evil Geniuses VS Ravens,3,0,0,8255756,8686786,0,0,1673996400
2,DPC 2023 SA Winter Tour Division I,28,Infinity VS Ravens,3,0,0,8375259,8686786,0,0,1675011600
