node_id,node_name,best_of,inc_id_1,inc_id_2,team_id_1,team_id_2,time
1,Team Spirit vs Natus Vincere,3,0,0,36,7119388,1655470800
2,Mind Games vs Natus Vincere,3,0,0,36,8255888,1656680400
3,,3,0,0,36,8376696,0
4,CIS Rejects vs Natus Vincere,3,0,0,36,8598633,1654779600
5,BetBoom vs Natus Vincere,3,0,0,36,8721219,1655049600
6,,3,0,0,36,8724829,0
7,Outsiders vs Natus Vincere,3,0,0,36,8724984,1656075600
8,,3,0,0,7119388,8255888,0
9,Team Spirit vs One Move,3,0,0,7119388,8376696,1656669600
10,Team Spirit vs CIS Rejects,3,0,0,7119388,8598633,1655038800
11,,3,0,0,7119388,8721219,0
12,Team Spirit vs Rune Eaters,3,0,0,7119388,8724829,1656248400
13,,3,0,0,7119388,8724984,0
14,Mind Games vs One Move,3,0,0,8255888,8376696,1655384400
15,Mind Games vs CIS Rejects,3,0,0,8255888,8598633,1656064800
16,BetBoom vs Mind Games,3,0,0,8255888,8721219,1655654400
17,Mind Games vs Rune Eaters,3,0,0,8255888,8724829,1654855200
18,,3,0,0,8255888,8724984,0
19,,3,0,0,8376696,8598633,0
20,BetBoom vs One Move,3,0,0,8376696,8721219,1656259200
21,One Move vs Rune Eaters,3,0,0,8376696,8724829,1655643600
22,Outsiders vs One Move,3,0,0,8376696,8724984,1654866000
23,BetBoom vs CIS Rejects,3,0,0,8598633,8721219,1656864000
24,CIS Rejects vs Rune Eaters,3,0,0,8598633,8724829,1656594000
25,Outsiders vs CIS Rejects,3,0,0,8598633,8724984,1655460000
26,BetBoom vs Rune Eaters,3,0,0,8721219,8724829,1655989200
27,,3,0,0,8721219,8724984,0
28,Outsiders vs Rune Eaters,3,0,0,8724829,8724984,1656853200
