team_id,team_name,team_tag
8255888,Mind Games,MG
1883502,Virtus.pro,VP
8261648,PuckChamp,PC
7422789,HellRaisers,HR
36,Natus Vincere,"NAVI"
7119388,Team Spirit,TSpirit
46,Team Empire,Empire
8310936,AS Monaco Gambit,ASM.GMB
