player_id,series_id,series_type,match_id,start_time,kills,deaths,creep_score,gold_per_min,tower_kills,roshan_kills,team_fight,obs_wards_planted,camps_stacked,runes_grabbed,first_blood,stuns,total
16497807,584971,2,6126777883,1628462253,0,0.9,0.102,0.44,0,0,2.25,4,0.5,0.25,0,0.19708,8.63908
96803083,584971,2,6126777883,1628462253,0.6,1.5,0.564,0.908,1,0,1.5,0.5,0,2,0,0,8.572
97590558,584971,2,6126777883,1628462253,0.3,1.2,0.549,0.846,0,0,1.5,0,1.5,0,0,0,5.895
185996267,584971,2,6126777883,1628462253,0,0.3,0.039,0.31,0,0,0.75,1,1,1,0,1.9384,6.3374
89550641,584971,2,6126777883,1628462253,0,0.9,0.231,0.534,0,0,0.75,0,0,0.5,0,0.37628,3.29128
113331514,584971,2,6126777883,1628462253,1.5,2.7,0.063,0.486,0,0,2.02941,3,2.5,0.5,0,1.61645,14.39486
321580662,584971,2,6126777883,1628462253,3.9,3,0.741,1.39,2,1,1.76471,0,1.5,0.25,4,1.48936,21.03507
431770905,584971,2,6126777883,1628462253,2.1,3,0.258,0.778,1,0,1.76471,1,0.5,1.75,0,3.09406,15.24476
256156323,584971,2,6126777883,1628462253,0.9,2.4,0.198,0.61,0,0,1.85294,1,0.5,0.75,0,0.40657,8.61751
302214028,584971,2,6126777883,1628462253,1.5,2.7,0.495,0.92,0,0,1.58824,0,0.5,0.75,0,1.39107,9.84431
16497807,584971,2,6126723290,1628458356,0.6,1.2,0.231,0.492,0,0,1.6,5.5,1.5,0.5,0,0.42266,12.04566
97590558,584971,2,6126723290,1628458356,1.2,1.8,0.816,0.956,0,0,1.8,0,2,0,0,0,8.572
96803083,584971,2,6126723290,1628458356,1.5,0.6,0.84,1.006,1,1,1.6,1.5,0,1,0,1.63264,11.67864
185996267,584971,2,6126723290,1628458356,0,-0.6,0.159,0.422,0,0,1.2,1.5,1,0.75,0,2.73065,7.16165
89550641,584971,2,6126723290,1628458356,1.2,1.5,0.63,0.846,0,0,2.2,0,1,0.75,0,1.65992,9.78592
113331514,584971,2,6126723290,1628458356,0.9,1.2,0.195,0.67,0,0,1.71429,5,2,0.25,0,1.52332,13.45261
321580662,584971,2,6126723290,1628458356,4.8,2.7,1.41,1.666,7,0,1.97143,0,2.5,1.5,0,0.16389,23.71132
431770905,584971,2,6126723290,1628458356,1.8,3,0.777,1.052,0,0,1.45714,1,1,4.25,0,1.40684,15.74298
256156323,584971,2,6126723290,1628458356,1.8,1.5,0.195,0.608,0,0,1.88571,2,2,0.25,4,2.9982,17.23691
302214028,584971,2,6126723290,1628458356,1.2,2.1,0.729,1.018,0,0,1.71429,0,0,1,0,3.57031,11.3316
16497807,584922,1,6126641848,1628453125,0.9,-1.2,0.132,0.508,0,1,1.5,8,1.5,0.5,4,4.18644,21.02644
97590558,584922,1,6126641848,1628453125,3,1.5,1.461,1.356,1,1,2.55,0,2,0.5,0,1.94848,16.31548
96803083,584922,1,6126641848,1628453125,1.5,0.9,1.572,1.432,1,0,2.85,2,0.5,0.75,0,4.23304,16.73704
185996267,584922,1,6126641848,1628453125,0,-2.1,0.093,0.488,0,0,1.05,2.5,0,2,0,4.02393,8.05493
89550641,584922,1,6126641848,1628453125,0.6,0,0.453,0.6,0,0,1.5,0,0,0.75,0,4.18974,8.09274
113331514,584922,1,6126641848,1628453125,3.3,2.1,0.171,0.772,0,0,2.43396,8,2.5,0.5,0,0.46073,20.23769
