node_id,node_name,best_of,inc_id_1,inc_id_2,team_id_1,team_id_2,time
1,,3,0,0,4,15,1647943200
2,,3,0,0,4,726228,1650708000
3,,3,0,0,4,6209166,1650362400
4,,3,0,0,4,6209804,1648375200
5,,3,0,0,4,8124688,1650103200
6,,3,0,0,4,8126892,1647770400
7,,3,0,0,4,8261500,1649844000
8,,3,0,0,15,726228,1647338400
9,,3,0,0,15,6209166,1650794400
10,,3,0,0,15,6209804,1650189600
11,,3,0,0,15,8124688,1649833200
12,,3,0,0,15,8126892,1648364400
13,,3,0,0,15,8261500,1650438000
14,,3,0,0,726228,6209166,1649757600
15,,3,0,0,726228,6209804,1647932400
16,,3,0,0,726228,8124688,1647586800
17,,3,0,0,726228,8126892,1650351600
18,,3,0,0,726228,8261500,1648548000
19,,3,0,0,6209166,6209804,1650448800
20,,3,0,0,6209166,8124688,1647327600
21,,3,0,0,6209166,8126892,1650016800
22,,3,0,0,6209166,8261500,1650178800
23,,3,0,0,6209804,8124688,1648537200
24,,3,0,0,6209804,8126892,1649746800
25,,3,0,0,6209804,8261500,1650783600
26,,3,0,0,8124688,8126892,1650697200
27,,3,0,0,8124688,8261500,1647759600
28,,3,0,0,8126892,8261500,1648191600
